ID,celebraty_Name,Gender,profession,best_movie,image,details
11,"Anushka Sharma",F,Actress,"Jab Tak Hai Jaan","https://m.media-amazon.com/images/M/MV5BNGM5YmYwNjUtNzQyYS00OGY0LTljZDAtMDNiMjhiOTFiMzRiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR2,0,140,209_AL_.jpg","Anushka Sharma was born on 1 May 1988 in Ayodhya, Uttar Pradesh. Her father, Colonel Ajay Kumar Sharma, is an army officer, and her mother, Ashima Sharma, is a homemaker. Her father is a native of Uttar Pradesh, while her mother is a Garhwali. Her elder brother is film producer Karnesh Sharma, who ..."
12,"Imran Khan",M,Actor,"Jaane Tu... Ya Jaane Na","https://m.media-amazon.com/images/M/MV5BMTk1MzY4MzgxM15BMl5BanBnXkFtZTgwMTgyMjkyODE@._V1_UY209_CR27,0,140,209_AL_.jpg","Imran Khan was born on January 13, 1983 in Madison, Wisconsin, USA as Imran Khan Pal. He is an actor and director, known for Jaane Tu... Ya Jaane Na (2008), Delhi Belly (2011) and Kidnap (2008). He has been married to Avantika Malik since January 10, 2011. They have one child."
13,"Deepika Padukone",F,Actress,"Yeh Jawaani Hai Deewani","https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR0,0,140,209_AL_.jpg","Deepika Padukone, born 5 January 1986 in Copenhagen, Denmark, is an Indian model & Actress. She is the daughter of former badminton Champion Prakash Padukone. Her mother tongue is Konkani. Deepika has a younger sister named Anisha.She has been modeling appearances in print and television advertising..."
14,"Ali Zafar",M,Actor,"Teefa in Trouble","https://m.media-amazon.com/images/M/MV5BMjM5MTMyNDI0OV5BMl5BanBnXkFtZTgwNTEzMjgzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Ali Zafar is one of Asia's most multi-faceted talents and Pakistan's most celebrated artiste. An accomplished actor, musician/ singer-songwriter/producer and a fine artist, Ali is the first actor from Pakistan to have taken his work global by being the first Pakistani to feature as the main lead in..."
15,"Akshay Kumar",M,Actor,"Hera Pheri","https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR13,0,140,209_AL_.jpg","Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do ..."
16,"Aishwarya Rai Bachchan",F,Actress,"Jodhaa Akbar","https://m.media-amazon.com/images/M/MV5BMjEyMjEyODkzN15BMl5BanBnXkFtZTcwODkxMTY1Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg","Born into a traditional south Indian family, Aishwarya started modeling at a young age. This green-blue-eyed beauty appeared in advertisements for many prestigious firms; the ones that brought her into the limelight were the garden sari and the Pepsi ad. Crowned Miss India 1994 runner-up, she was a..."
17,"Rani Mukherjee",F,Actress,"Tumhare Liye",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,"Rani Mukherjee is an actress, known for Tumhare Liye."
18,"John Abraham",M,Actor,Dhoom,"https://m.media-amazon.com/images/M/MV5BMTY1MDUyMjI1N15BMl5BanBnXkFtZTYwMjg4MjA0._V1_UX140_CR0,0,140,209_AL_.jpg","Born and brought up in Mumbai, India, John Abraham is one of the most successful male models in India. John grew up in a middle class family. His father Abraham John is a Syrian Christian (Nasrani or Saint Thomas Christian) from Aluva, Kerala, India and his mother Firoza Irani is a Zoroastrian ..."
19,"Bipasha Basu",F,Actress,Race,"https://m.media-amazon.com/images/M/MV5BOTUzYzU0MmQtZTkxMi00MDRlLTkyZGUtOTY1YzkzOGIyMjAwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UY209_CR7,0,140,209_AL_.jpg","Fate intervened when Bipasha recoiled and passed out when dissecting a rat. Thus ended her dream of being a medical professional. She was enrolled in the science faculty until 12th standard, but switched to commerce thereafter. After acquiring a degree in commerce she planned to be a chartered ..."
20,Rajinikanth,M,Actor,Enthiran,"https://m.media-amazon.com/images/M/MV5BMTA3MDcyNzkxMjZeQTJeQWpwZ15BbWU3MDUxMTU4Njg@._V1_UY209_CR1,0,140,209_AL_.jpg","Rajinikanth has been a megastar in the Tamil movie industry since the 70s. He is one of the highest earning actors in Asia. Primarily starring in Tamil movies, he has also worked in Hindi, Telugu, Kannada, and American movies. He was born in Bangalore (India), and was employed as a bus conductor ..."
21,"Asin Thottumkal",F,Actress,Ghajini,"https://m.media-amazon.com/images/M/MV5BMjA4MjkyMzAxNl5BMl5BanBnXkFtZTcwOTEyMjMyMg@@._V1_UX140_CR0,0,140,209_AL_.jpg","Asin was born in Cochin, Kerala, India in the Malayalam-speaking Thottumkal family which consists of her businessman dad, Joseph, and mom, Dr. Seline, who practices in Ernakulam. She attended Naval Public School in Cochin, and after obtaining her Matriculation, was enrolled in St. Theresa's Higher ..."
22,"Dilip Kumar",M,Actor,"Gunga Jumna","https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY209_CR68,0,140,209_AL_.jpg","Dilip Kumar is considered to be one of the greatest actors of Indian cinema. Starting his career in 1944, he has starred in some of the biggest commercially successful films in the period 1949-1961. . He was the first actor to receive a Filmfare Best Actor Award and holds the record for most number..."
23,"Hema Malini",F,Actress,Sholay,"https://m.media-amazon.com/images/M/MV5BMTAxNjkwODczMzleQTJeQWpwZ15BbWU3MDY2NzA4MTg@._V1_UY209_CR5,0,140,209_AL_.jpg","Hema was born in the Tamil-speaking Chakravarthy household on October 16, 1948 in Ammankudi, Tamil Nadu. Her dad's name is V.S.R. Chakravarthy and her mom, Jaya, was a film producer. She was enrolled in the Chennai-based Andhra Mahila Sabha.After performing as a dancer in a 1961 regional movie, she..."
24,"Madhuri Dixit",F,Actress,Devdas,"https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY209_CR34,0,140,209_AL_.jpg","Madhuri Dixit is one of the most acclaimed actors and Kathak dancers Bollywood have ever witnessed. Born in a Marathi Brahmin Koknastha family to Mr. Shankar and Mrs. Snehlata, Madhuri Dixit has two sisters Rupa, Bharti, and brother Ajit. She performed decently well in her academics and aspired to ..."
25,Govinda,M,Actor,Partner,"https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY209_CR14,0,140,209_AL_.jpg","Govinda was born on December 21, 1963. Govinda has acted in over 120 films since his debut in 1986. Govinda is best-known for his comedy related roles; his powerful contribution in dancing in bollywood is inevitable. He is one of the most successful actors and is definitely the best dancer in ..."
26,"Mahie Gill",F,Actress,Dev.D,"https://m.media-amazon.com/images/M/MV5BMjI4ODU1NTU1MF5BMl5BanBnXkFtZTgwMzM4NDczMDE@._V1_UY209_CR86,0,140,209_AL_.jpg","Mahie Gill was born in Chandigarh, Punjab. She has completed her Masters in theater from Panjab University, Chandigarh in 1998. Mahi got her first break with the Punjabi based Bollywood film Hawayein and has done a couple of Punjabi films along with theatre. Anurag saw her first in a party and ..."
27,"Preity Zinta",F,Actress,Veer-Zaara,"https://m.media-amazon.com/images/M/MV5BNjM3NzY5ODkwNl5BMl5BanBnXkFtZTcwMDUwMDgxOA@@._V1_UY209_CR7,0,140,209_AL_.jpg","Preity Zinta shot to fame as the refreshing, cool, wet model in the Liril commercial. She also modeled for Perk and her dimpled smile won the hearts of millions. Preity never thought she would be an actress. Kapoor saw her in the Liril commercial and liked her so much that he instantly decided that..."
28,"Arshad Warsi",M,Actor,"Munna Bhai M.B.B.S.","https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg","Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days.Financial circumstances forced Warsi to start work as a door-to-door..."
29,"Shilpa Shetty Kundra",F,Actress,"Life in a Metro","https://m.media-amazon.com/images/M/MV5BMTg4MjAxMzk3NV5BMl5BanBnXkFtZTcwODUzMzQzMQ@@._V1_UY209_CR17,0,140,209_AL_.jpg","Among very few actresses, Shilpa Shetty was nominated for her first film Baazigar (1993). The following year she delivered another blockbuster hit Main Khiladi Tu Anari (1994) where she starred with Akshay Kumar and Saif Ali Khan. However, the proceeding years her movies failed to succeed at the ..."
30,Kajol,F,Actress,"Kuch Kuch Hota Hai","https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY209_CR4,0,140,209_AL_.jpg","Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee. She is an actress, known for Kuch Kuch Hota Hai (1998), My Name Is Khan (2010) and Fanaa (2006). She has been married to Ajay Devgn since February 24, 1999. They have two children."
31,"Sunny Deol",M,Actor,Ghayal,"https://m.media-amazon.com/images/M/MV5BMjEwOTA2MjMwMl5BMl5BanBnXkFtZTcwODc3MDgxOA@@._V1_UY209_CR3,0,140,209_AL_.jpg","Ajay Singh Deol popularly known as Sunny Deol was born to actor Dharmendra and Prakash Kaur. Sunny began acting with super hit film Betaab (1983) which was a love story also featuring another new comer Amrita Singh; this film was a major success and then he goes on making films which portrayed him ..."
32,"Urmila Matondkar",F,Actress,Bhoot,"https://m.media-amazon.com/images/M/MV5BMTQ4OTQ4NTA2OF5BMl5BanBnXkFtZTgwMjQ3OTczOTE@._V1_UX140_CR0,0,140,209_AL_.jpg","The daughter of a lecturer, actress Urmila Matondkar began her celluloid career as a child artiste with the film _Kalyug (1980)_. Although an average film at the box-office, her next film, Masoom (1983), about a family coping with an illegitimate member, showed her acting talents blossom and she ..."
33,"Saif Ali Khan",M,Actor,"Kal ho naa ho","https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg","Saif is the son of Bollywood actress, Sharmila Tagore, and Indian cricketer, Mansoor Ali Khan.Both his grandfather, Iftikhar Ali Khan Pataudi, and father were professional cricketers. His mother, Sharmila Tagore, an actress within her own rights. He has two sisters, Bollywood actress Soha Ali Khan,..."
34,"Juhi Chawla",F,Actress,Darr,"https://m.media-amazon.com/images/M/MV5BMWYyYzhkYjItNDAyMi00ZTdhLWFjZGItM2M4ZGZjYjY5NjZhXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX140_CR0,0,140,209_AL_.jpg","Juhi was born in the Chawla family on November 13, 1967 in Ludhiana, Punjab, India, and is the daughter of Punjabi-speaking dad, Dr. S. Chawla and Gujarati-speaking mom, Mona. She has a brother named Sanjeev. Her mother passed away in an accident during the year 1998 while Juhi was filming '..."
35,"Tusshar Kapoor",M,Actor,"Golmaal: Fun Unlimited","https://m.media-amazon.com/images/M/MV5BMTU0MjEzMjM4NV5BMl5BanBnXkFtZTgwNjUwMDMzOTE@._V1_UY209_CR14,0,140,209_AL_.jpg","Tusshar Kapoor is an Indian actor. He is the son of Bollywood actor Jeetendra and Shobha Kapoor and brother of Ekta Kapoor. He studied at the University of Michigan and graduated with a BBA from the Stephen M. Ross School of Business.Tushar made his debut with Mujhe Kucch Kehna Hai alongside Kareena..."
36,"Lara Dutta",F,Actress,"Don 2","https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY209_CR88,0,140,209_AL_.jpg","It is not a secret that Lara Dutta is a beauty with brains. This was demonstrated when she scored the highest possible marks in the history of the Miss Universe Contest. After this she was crowned Miss Universe 2000, making history as not only the most beautiful but also the most intelligent young ..."
37,"Anil Kapoor",M,Actor,"Slumdog Millionaire","https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR0,0,140,209_AL_.jpg","Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary.A loner, without many friends, he studied in the nearby ..."
38,"Jacqueline Fernandez",F,Actress,Aladin,"https://m.media-amazon.com/images/M/MV5BOTYwNTc1ODE0NF5BMl5BanBnXkFtZTgwNjU3OTA3MjI@._V1_UX140_CR0,0,140,209_AL_.jpg","Jacqueline's father Elroy Fernansez is a Sri Lankan and mother Kim is a Malaysian. She has two brothers and an older sister. Her parents moved to Bahrain when she was very young.After her schooling in Bahrain, she was awarded a Scholarship to study at the University of Sydney, where she pursued a ..."
39,"Ranveer Singh",M,Actor,"Gully Boy","https://m.media-amazon.com/images/M/MV5BMTExOTcwMDU4NTReQTJeQWpwZ15BbWU3MDA0MjE1MTc@._V1_UY209_CR1,0,140,209_AL_.jpg","Ranveer Singh is an Indian actor working in Bollywood. Born in Mumbai, India, Ranveer Singh had always wanted to be an actor since his childhood. However, during his college days he felt that the idea of acting was far-fetched and focused on creative writing. While pursuing his Bachelor of Arts ..."
40,Madhavan,M,Actor,"Vikram Vedha","https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY209_CR8,0,140,209_AL_.jpg","Madhavan was born on June 1, 1970, in a Tamil-speaking family.At the age of 18 his college entrusted him with the responsibility of representing India as a Cultural Ambassador to Canada.A year later he and three others from his college were sent to Britain as army cadets and received training in ..."
41,"Minissha Lamba",F,Actress,"Well Done Abba!","https://m.media-amazon.com/images/M/MV5BMTVkMzhkNWItYmIwMy00MTJmLWE2OTItOTcwMjVlMzg4YzEzXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR8,0,140,209_AL_.jpg","Minisha Lamba was born in the New Delhi-based Punjabi speaking Sikh family consisting of her dad Kewal, mom Manju, and brother Karan. She had not really decided to act in films, her goal was to become a Journalist, but she loved modeling and was fortunate enough to be selected to model for Cadbury...."
42,"Shreyas Talpade",M,Actor,"Om Shanti Om","https://m.media-amazon.com/images/M/MV5BMjZhOTQzNTEtNGY4NS00ZmQxLThkMDEtM2M4NDVjMjc0MWNlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg","Shreyas Talpade was born on January 27, 1976 in Bombay, Maharashtra, India. He is an actor and director, known for Om Shanti Om (2007), Iqbal (2005) and Dor (2006)."
43,"Shahid Kapoor",M,Actor,Haider,"https://m.media-amazon.com/images/M/MV5BMjc5NTM5NjUyMV5BMl5BanBnXkFtZTgwMDEwMzU1OTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Shahid's rise to stardom reads like a bollywood script: from a struggler to a winner. With his hard work, perseverance and sincerity, he has written his own destiny.Shahid is a mine of unabashed talent and spark, beneath his calm and innocent veneer. Shahid Kapoor is young and vibrant, with a ..."
44,"Sonam Kapoor",F,Actress,Neerja,"https://m.media-amazon.com/images/M/MV5BMGU4Njg5MjgtNzIyNC00M2I0LThlYjAtZjZhMGJhOWNmMzA2L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg","Sonam Kapoor comes from an established film family. She is the daughter of actor and producer Anil Kapoor and the grandchild of filmmaker Surinder Kapoor. Sonam is Bollywood royalty with immense support in the Indian film fraternity.Unlike most star children, Sonam started life with a structured ..."
45,"Genelia D'Souza",F,Actress,"Jaane Tu... Ya Jaane Na","https://m.media-amazon.com/images/M/MV5BMTMyMDc5OTEyNl5BMl5BanBnXkFtZTcwMjczNzYwMw@@._V1_UY209_CR87,0,140,209_AL_.jpg","Genelia D'Souza is an Indian actress, model, and host. She has appeared in Telugu, Hindi, Tamil, Kannada, and Malayalam language films. After gaining wide attention in a Parker Pen commercial with Amitabh Bachchan, D'Souza began her acting career with Tujhe Meri Kasam in 2003. She was recognized ..."
46,"Irrfan Khan",M,Actor,Dabba,"https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY209_CR8,0,140,209_AL_.jpg","Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family. Khan's mother, Begum Khan, was from the Tonk Hakim family and his father, Jagirdar Khan, from the Khajuriya village near the Tonk district, ran a tire business.The Khan family name ..."
47,"Sonakshi Sinha",F,Actress,Dabangg,"https://m.media-amazon.com/images/M/MV5BMTgxMTUyNDg2NF5BMl5BanBnXkFtZTgwOTAyMTIzOTE@._V1_UY209_CR7,0,140,209_AL_.jpg","She is the daughter of legendary Indian actor Shatrughan Sinha and Poonam Sinha and sister to Luv Sinha and Kussh Sinha. She started her career as a model and walked the ramp in the Lakme Fashion week in 2008. She got her break in movies after being signed up by Salman Khan for his thriller Dabangg..."
48,"Parineeti Chopra",F,Actress,"Hasee Toh Phasee","https://m.media-amazon.com/images/M/MV5BMTkzOTgzNzYzMl5BMl5BanBnXkFtZTgwMTI0MzY3OTE@._V1_UY209_CR87,0,140,209_AL_.jpg","Parineeti Chopra is an Indian actress and singer who appears in Hindi films, was born on in Ambala, Haryana into a Punjabi family. Her father, Pawan Chopra, is a businessman and supplier to the Indian Army at Ambala Cantonment and her mother is Reena Chopra. Chopra studied at the Convent of Jesus ..."
49,"Vidya Balan",F,Actress,Kahaani,"https://m.media-amazon.com/images/M/MV5BNDI3Mjk2MjgzMl5BMl5BanBnXkFtZTcwODQwMjI1OQ@@._V1_UY209_CR2,0,140,209_AL_.jpg","Vidya was born in Palghat, Kerala, India. Her family consists of her dad, P.R. Balan, who is the Vice-President of ETC Channel; mom - a home-maker, and an elder sister, Priya, who is married to Kedar. She also has an aunt by the name of Raji Raju.The Balan family re-located to live at Road No. 11, ..."
50,"Bobby Deol",M,Actor,Barsaat,"https://m.media-amazon.com/images/M/MV5BODA2ODQ5ODI3Nl5BMl5BanBnXkFtZTgwMDYwMDMzOTE@._V1_UY209_CR18,0,140,209_AL_.jpg","Bobby Deol (Vijay Singh Deol) is the second son of Bollywood mega-star Dharmendra. His older brother is another Bollywood mega-star, Sunny Deol. Deol began his career as a child artiste in the movie Dharam Veer (1977), playing a young Dharmendra.He has two step-sisters, namely Bollywood actress ..."
51,Dharmendra,M,Actor,Sholay,"https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY209_CR87,0,140,209_AL_.jpg","Dharmendra is one of the biggest stars of Indian cinema. Dharmendra Deol played the romantic hero in woman centric films from 1960-1968 and became romantic hero from 1968-69 and played the role of action hero from 1971-1997. Dharmendra has appeared in 306 films.He is known as 'Garam' Dharam in ..."
52,"Zareen Khan",F,Actress,"Housefull 2","https://m.media-amazon.com/images/M/MV5BMjI2OTk0NDQ0N15BMl5BanBnXkFtZTgwMDkxMTIzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Khan was born to a Muslim Pathan family in Mumbai. Khan was forced to abandon her education while in college and begin working due to the financial troubles of her family. With no marketable skills to rely on, she tried her hand at modeling. Khan did quite a few small assignments that fetched her ..."
53,"Shazahn Padamsee",F,Actress,"Housefull 2","https://m.media-amazon.com/images/M/MV5BNTcwODgyNDMtOTQxNS00MTlhLTkxYmMtNDg1OWIzODEzZjgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR9,0,140,209_AL_.jpg","Shazahn Padamsee is a multi-talented Indian film/stage actress and also a model. She was born to noted actors Alyque Padamsee and Sharon Prabhakar. She made her stage debut, alongside her father, in a play called "Unspoken Dialogues". Her first film appearance was in the 2009 Hindi film, Rocket ..."
54,"Riteish Deshmukh",M,Actor,"Ek Villain","https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_UY209_CR8,0,140,209_AL_.jpg","Riteish Deshmukh is an Indian actor, producer and architect who appears in Bollywood films. He is the son of Late. Vilasrao Deshmukh, the former Union Minister for Science, Technology and Earth Sciences, Government of India, and the former Chief Minister of Maharashtra. Riteish debuted with K. ..."
55,"Neil Nitin Mukesh",M,Actor,"Johnny Gaddaar","https://m.media-amazon.com/images/M/MV5BZTlhZjVlNzMtMzlhOC00ZWJlLTg1NzItZTU5NDNmNzFhZWU0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","He had a normal childhood, like most other children. He graduated from HR College, with a B.Com degree. At his father's insistence, he has been very focused on his career since he was in the 12th standard. He did a 4-month workshop with Kishore Namit Kapoor and also at Anupam Kher's institute, ..."
56,"Naseeruddin Shah",M,Actor,"The League of Extraordinary Gentlemen","https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY209_CR12,0,140,209_AL_.jpg","Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children."
57,"Sharman Joshi",M,Actor,"3 Idiots","https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg","Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for 3 Idiots (2009), Rang De Basanti (2006) and Golmaal: Fun Unlimited (2006). He has been married to Prerna Chopra since 2000. They have three children."
58,"Paresh Rawal",M,Actor,"Hera Pheri","https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY209_CR88,0,140,209_AL_.jpg","Paresh Rawal was born on May 30, 1950 in Bombay, State of Bombay, India. He is a producer and actor, known for Hera Pheri (2000), OMG: Oh My God! (2012) and Hungama (2003). He is married to Swaroop Sampat. They have two children."
